TBCA Oxota,OOH Oxota,Buy m.o. Oxota,Trial Oxota,Unaided Oxota,Consider T1 Oxota,OOH freq,Instore freq,Bar freq,Volume,Media coverage,WOM +ve,WOM =,Experience +ve,Experience =
1,0,1,1,1,1,3033.828,1.4,0,0.5,0,1,0,1,0
1,0,0,1,0,0,1421.784,0,0,10,0,0,1,0,1
0,0,0,0,0,0,105.792,2.825,0,6,0,0,0,0,0
1,0,0,1,0,0,59.25,5.25,0,0.5,0,1,0,1,0
1,0,0,1,0,0,346.641,0.55,0,1.5,0,0,0,0,0
0,0,0,1,1,0,3.483,0.5,0,2.5,0,0,0,0,1
1,0,1,1,1,1,243.576,6,0,3,0,1,0,1,0
0,0,0,0,0,0,23.18871429,1.1,0,10,0,0,0,0,0
0,0,0,1,1,0,0,1,0,2.5,0,0,0,0,0
1,0,1,1,1,1,1348.677,4.25,0,2.5,0,0,0,1,0
0,0,1,1,1,0,0,1.5,0,4,0,0,0,0,1
1,1,0,1,1,0,0,4,0,7.5,0,1,0,1,0
1,0,0,1,0,0,816.465,2.5,0,3,0,0,0,0,0
0,0,0,1,0,0,0,2,0,4.5,0,0,1,0,1
1,1,0,1,1,0,1441.314,4.1,0,4,0,0,0,1,0
1,0,1,1,1,1,0,5,0,7.5,0,0,0,1,0
0,0,0,1,1,0,0,5.2,0,2.5,0,0,0,0,1
1,1,1,1,1,1,101.01,4,0,4,0,0,0,0,1
1,0,1,1,1,1,395.3674286,8.25,0,1.5,0,1,0,0,1
1,1,1,1,1,1,0,2.7,0,2.5,0,0,1,1,0
1,1,1,1,1,1,0,0.4,0,4,0,1,0,1,0
1,0,0,1,0,0,0,1.525,0,0.5,0,1,0,0,1
1,0,0,1,1,0,35.86928571,6,0,10,0,0,0,0,1
1,0,0,1,1,0,164.7977143,3.5,0,2.5,0,0,0,1,0
0,0,0,1,1,0,0,2.5,0,2.5,0,0,0,0,0
1,0,1,1,1,1,2028.561,12,0,10,0,1,0,1,0
0,0,0,1,0,0,158.175,1,0,4,0,0,0,0,1
0,0,0,1,1,0,0,5,0,7.5,0,0,0,0,1
0,0,1,1,1,1,2940.078,11,0,9.5,0,0,0,1,0
1,0,0,0,1,0,2782.581,4.5,1,10,0,0,0,0,0
1,0,0,1,1,0,1566.663,12,0,2.5,0,1,0,1,0
0,0,0,1,1,0,0,1,0,4,0,0,0,0,1
0,0,0,1,1,0,900,1,0,7.5,0,0,0,0,0
0,0,0,1,1,0,0,0.5,0,2.5,0,0,0,0,1
0,0,1,1,1,1,0,0.5,0,2.5,0,0,0,1,0
1,0,0,1,0,0,152.166,5,0,1.5,0,0,0,1,0
0,0,0,1,0,0,104.154,0.5,0,1.5,0,0,0,1,0
0,0,0,1,0,0,503.1154286,4.5,0,10,0,0,0,0,1
1,0,0,1,0,0,110.328,3.5,0,10,1,0,0,1,0
0,0,1,1,1,1,403.902,6,1,5,0,1,0,1,0
1,1,0,1,1,0,0,2,0,4,0,0,0,1,0
0,0,0,1,1,0,0,1.2,0,2.5,0,0,1,1,0
0,0,1,1,1,1,0,0.5,0,4.5,0,0,0,0,0
1,1,1,1,1,1,0,4,0,7.5,0,0,1,1,0
0,0,0,1,1,0,46.284,0.1,0,2.5,0,0,0,0,0
1,0,1,1,1,1,1237.56,8,0,7,0,1,0,1,0
1,0,1,1,1,1,65.64,0.2,0,4.5,1,0,1,0,1
1,1,1,1,0,1,72.138,2,0,4,0,1,0,1,0
0,0,0,1,1,0,789.75,0.6,0,7.5,0,0,0,1,0
0,0,0,1,1,0,0,1.5,0,4,0,0,0,0,1
0,0,0,1,1,0,601.92,8,0,9,0,0,0,1,0
0,0,1,1,1,1,0,0.6,0,7.5,0,0,0,0,0
0,0,0,1,1,0,0,0.6,0,2.5,1,0,0,0,1
1,1,0,1,1,0,557.868,4.1,0,4,0,0,0,0,1
1,1,1,1,1,1,30.078,0,0,4,0,0,0,0,1
0,0,1,1,1,1,75.486,0.5,0,7.5,0,0,0,1,0
1,1,1,1,0,1,52.464,0,0,1.5,1,0,0,0,0
1,0,1,1,1,1,119.928,2,0,10,0,0,1,1,0
0,0,0,1,1,0,1150.884,3,0,6.5,0,0,0,1,0
